#source http://tongwen.openfoundry.org/src/tongwen_table/phrase_s2t.txt
017389,014F69	017389,0173EE
0173B2,016727	0173B2,0174CF
017403,01679C	016BEC,01679C
017405,015B1B	01746F,015B1B
017433,017405	017433,01746F
01743A,017405	01743A,01746F
01745E,0154F2	01777F,0154F2
01745E,01667A	01777F,01667A
017480,0171E6	017480,0174A8
0174A8,01721B	0171E6,01721B
0174B0,014F69	0174B0,0173EE
017518,014E43,018FEA	017518,018FFA,018FEA
017518,0185AF	017518,0185F7
017532,0180C4	017532,015191
01755B,0161F7	018EEB,0161F7
01756A,0185AF	018543,0185AF
017586,015F29,014E4B,01672B	015F4A,015F29,014E4B,01672B
01758F,016D5A	01758F,016FEC
017594,0150B7	017642,0150B7
0175C5,015165,01818F,0176F2	0175C5,015165,01818F,018093
0175C7,017D50	017665,017D50
0175D9,015B7F	0175D9,016523
01767D,016DC5	01767D,017699
01767D,016F88	01767D,017699
0176CD,017136	016E98,017136
0176CD,0176CD	016E98,016E98
0176CD,018B1D	016E98,018B1D
0176CD,01901D	016E98,01901D
0176E4,016D85	0169C3,016D85
0176EE,015B9A,0153E3,015446	0176EE,0177AA,0153E3,015446
0176F8,015F62,01898B,0162D9	0176F8,015F62,01898B,017D40
017708,018AA4	01803D,018AA4
01771F,0177E5,015353,01898B	01771F,0177E5,01707C,01898B
01771F,017DE0	01771F,018AE6
017729,018000	0170AB,018000
01773C,016846	01773C,017736
01778C,017136,019577,01901D	016E98,017136,019577,01901D
0178CB,018DCE	018E49,018DCE
01795E,014F51	01795E,017950
01795E,017957	01795E,017947
017981,0182E5,015BD2,0187EC	015664,0182E5,015BD2,0187EC
0179CB,015343	0197A6,0197C6
0179DF,018CB8	0179DF,018CC3
0179E4,01939A	0179E4,019318
017A2E,015E2B,014E2D	0179CD,015E2B,014E2D
017A2E,015E2B,019053	0179CD,015E2B,019053
017A2E,01653E	0179CD,01653E
017A3D,015EB7	015D47,015EB7
017A4D,016DC0	017A4D,016FB1
017AA3,016089	017AA3,017AB8
017AF9,015E2D	017AF9,0184C6
017AF9,016846	017AF9,017B50
017AF9,018340	017AF9,017B4D
017AF9,0185E4	017AF9,017C50
017AFD,01982D	01828B,01982D
017B06,018549	0182AD,018549
017B11,015BB9,0153EF,0197A0	017B11,015BB9,0153EF,0163AC
017B11,018A25	017B11,017D0D
017B11,019B58	017B11,019768
017B26,019304	017B26,017C59
017B49,014FAF	017B49,015019
017B4D,016CC1	018340,016CC1
017BFE,017C1E	017BFE,017C1F
017C21,016734	017C21,016A38
