014E86,017136,01FF01	0177AD,017136,01FF01
014E86,017136,01FF0C	0177AD,017136,01FF0C
014E86,017136,013002	0177AD,017136,013002
014E86,017136,01FF1F	0177AD,017136,01FF1F
014E86,017136,015730	0177AD,017136,015730
014E86,017136,0165BC	0177AD,017136,0165BC
014E86,017136,017684	0177AD,017136,017684
014E86,0189E3	0177AD,0189E3
014E86,0189E3,014E0D,01958B	014E86,0189E3,014E0D,01958B
014E86,0189E3,017A74	014E86,0189E3,017A74
014E86,0189E3,016C7A	014E86,0189E3,016C7A
014E86,0189E3,01653E	014E86,0189E3,01653E
014E86,0189E3,016CD5	014E86,0189E3,016CD5
014E86,0189E3,016BD2	014E86,0189E3,016BD2
014E86,0189E3,019664	014E86,0189E3,019664
014E86,0189E3,016551	014E86,0189E3,016551
014E86,0189E3,01812B	014E86,0189E3,01812B
014E86,0189E3,01570D	014E86,0189E3,01570D
014E86,0189E3,016563	014E86,0189E3,016563
014E86,0189E3,017B54	014E86,0189E3,017B54
014E86,0189E3,017B54,016848	0177AD,0189E3,017B54,016848
014E86,0189E3,01958B	014E86,0189E3,01958B
014E86,0189E3,018AAA	014E86,0189E3,018AAA
014E86,0189E3,0178BC	014E86,0189E3,0178BC
014E86,0189E3,0185E5	014E86,0189E3,0185E5
014E86,0189E3,0191CB	014E86,0189E3,0191CB
014E86,015C0D,018C61	014E86,015C0D,018C61
014E8C,0153EA	014E8C,0196BB
014E8C,0153EA,015F97	014E8C,0153EA,015F97
014E8C,016D77,0188E1	014E8C,016D77,0191CC
014E8C,0188E1	014E8C,0191CC
014E8C,016487,0180E1	014E8C,016487,019B0D
014EBA,015E72,017684	014EBA,015E79,017684
014EBA,014E11	014EBA,01919C
014EBA,016597,014E86	014EBA,019B25,014E86
014EBA,016597,014E0A	014EBA,019B25,014E0A
014EBA,016B32,016A6B,016D41	014EBA,01617E,016A6B,016D41
014EBA,018C61	014EBA,0150CF
014EBA,018C61,015F81	014EBA,018C61,015FB5
014EBA,018C61,015FB5	014EBA,018C61,015FB5
014EBA,0196F2	014EBA,014E91
014EBA,0196F2,0196E8	014EBA,0196F2,0196E8
014EBA,0196F2,016E38	014EBA,0196F2,01904A
014EBA,0196F2,0196C6	014EBA,0196F2,0196C6
014EBA,0196F2,0196F2	014EBA,014E91,014E91
014EBA,015F71,015F8C	014EBA,015F71,015F8C
014EBA,018D0A	014EBA,018B9A
014EBA,018D0A,01540C	014EBA,018D0A,01540C
014EBA,018D0A,0152A9	014EBA,018D0A,0152A9
014EBA,018D0A,018EAB	014EBA,018D0A,018EAB
014EBA,018D0A,019152	014EBA,018D0A,019152
014EBA,018D0A,018A31	014EBA,018D0A,018A31
014EBA,018D0A,0179AE	014EBA,018D0A,0179AE
015165,017CF6	015165,017CF4
01516B,016597	01516B,016597
01516B,0153EA	01516B,0196BB
01516B,015B57,0180E1	01516B,015B57,019B0D
01516B,015377	01516B,015377
01516B,016D77,0188E1	01516B,016D77,0191CC
01516B,0188E1	01516B,0191CC
01516B,0188E1,014F59	01516B,0191CC,019918
015201,016597	015201,016597
01529B,016597	01529B,019B25
015341,015206,015E72,01FF01	015341,015206,014E7E,01FF01
015341,015206,015E72,01FF0C	015341,015206,014E7E,01FF0C
015341,015206,015E72,013002	015341,015206,014E7E,013002
015341,015206,014E11	015341,015206,01919C
015341,015206,014E4B,0151C6	015341,015206,014E4B,016E96
015341,015206,01624E,015BE6	015341,015206,01624E,015BE6
015341,015206,0156F0,01FF0C	015341,015206,01774F,01FF0C
015341,015206,0156F0,013002	015341,015206,01774F,013002
015341,015206,0156F0,014E86	015341,015206,01774F,014E86
015341,015206,017684,0151C6	015341,015206,017684,016E96
015341,015206,0151C6	015341,015206,016E96
015341,016597	015341,016597
015341,0153EA	015341,0196BB
015341,01591A,0153EA	015341,01591A,0196BB
015341,014F59	015341,019918
015341,014F59,0153EA	015341,019918,0196BB
015341,014F59,0188E1	015341,019918,0191CC
015341,014F86,0188E1	015341,014F86,0191CC
015341,015377	015341,015377
015341,016D77,0188E1	015341,016D77,0191CC
015341,0188E1	015341,0191CC
015341,0188E1,014F59	015341,0191CC,019918
015341,016578,0153EA	015341,016578,0196BB
0153C8,015E72,0153C8	0153C8,014E7E,0153C8
0153C8,014E11	0153C8,01919C
0153C8,016597	0153C8,019B25
0153C8,016597,017B20	0153C8,016597,017B20
0153C8,016597,017136	0153C8,016597,017136
0153C8,016597,017BF7	0153C8,016597,017BF7
0153C8,016597,0181BD	0153C8,016597,0181BD
0153C8,015360	0153C8,014F54
0153C8,015360,01535C	0153C8,015360,01535C
0153C8,015360,01639B	0153C8,015360,01639B
0153C8,016C96	0153C8,01885D
0153C8,016C96,015237	0153C8,016C96,015237
0153C8,016C96,016D17	0153C8,016C96,016D17
0153C8,016C96,016389	0153C8,016C96,016389
0153C8,016C96,016DE1	0153C8,016C96,016DE1
0153C8,016C96,018755	0153C8,016C96,018755
0153C8,016C96,017A4D	0153C8,016C96,017A4D
0153C8,015377	0153C8,016372
0153C8,0165BC	0153C8,0165BC
0153C8,01677E	0153C8,019B06
0153C8,0151C6,0153C8	0153C8,016E96,0153C8
0153C8,018C61	0153C8,0150CF
014E09,016597	014E09,016597
014E09,0153EA	014E09,0196BB
014E09,015377	014E09,015377
014E09,01500B	014E09,01500B
014E09,016D77,0188E1	014E09,016D77,0191CC
014E09,01570B,015FD7	014E09,01570B,018A8C
014E09,0188E1	014E09,0191CC
014E09,0188E1,014F59	014E09,0191CC,019918
014E09,016578,0153EA	014E09,016578,0196BB
014E0B,014E0B,017C3D	014E0B,014E0B,017C64
014E0B,01624B,015E72	014E0B,01624B,015E79
014E0B,016C96	014E0B,01885D
014E0B,016C96,015237	014E0B,016C96,015237
014E0B,016C96,016D17	014E0B,016C96,016D17
014E0B,016C96,016DBC	014E0B,016C96,016DBC
014E0B,016C96,017A4D	014E0B,016C96,017A4D
014E0B,0154BD	014E0B,0156A5
014E0B,0154BD,016CE3	014E0B,0154BD,016CE3
014E0B,0154BD,015589	014E0B,0154BD,015589
014E0B,019762,019EDE	014E0B,019762,019EDE
014E0B,016881,015B50	014E0B,016A11,015B50
014E0B,016881,016B6A	014E0B,016A11,016B6A
014E0B,0188E1,015DF4,014EBA	014E0B,0191CC,015DF4,014EBA
014E08,014F59	014E08,019918
014E0A,014E0A,017C3D	014E0A,014E0A,017C64
014E0A,015360	014E0A,014F54
014E0A,015360,01535C	014E0A,015360,01535C
014E0A,015360,017B97	014E0A,015360,017B97
014E0A,015E03,014E86	014E0A,014F48,014E86
014E0A,016C96	014E0A,01885D
014E0A,016C96,015237	014E0A,016C96,015237
